id,documentId,ru,es,createdAt,updatedAt,publishedAt,locale,fontSize,answerTime,correctAnswer
46,"grja73bhqfjt1wfwc50zwvdi","болезнь","Enfermedad","2025-03-28T15:42:16.014Z","2025-03-28T15:42:16.014Z","","",16,30,true
48,"yqdyfm9bo0pvs8b4jzvuqzg6","симптомы","Síntomas","2025-03-28T15:42:42.745Z","2025-03-28T15:42:47.842Z","","",16,30,true
50,"s23d7md3wn4wipo34nz119nj","температура, жар","Fiebre","2025-03-28T15:43:18.429Z","2025-03-28T15:43:24.115Z","","",16,30,true
52,"yzwbq52igz5ccly91p8959z5","боль","Dolor","2025-03-28T15:43:47.134Z","2025-03-28T15:44:26.614Z","","",16,30,true
54,"i3wzmqyogpjgjplgov24z52c","простуда","Resfriado","2025-03-28T15:45:00.881Z","2025-03-28T15:45:05.810Z","","",16,30,true
56,"l33fc8hisp9s3ht9l56t05dj","грипп","Gripe","2025-03-28T15:45:30.403Z","2025-03-28T15:45:38.030Z","","",16,30,true
58,"ivvk84qdmlbzgoq266m6jbgb","кашель","Tos","2025-03-28T15:46:07.601Z","2025-03-28T15:46:13.693Z","","",16,30,true
60,"yctg4pi4zilynh6q6v1pggae","чихание","Estornudo","2025-03-28T15:46:37.514Z","2025-03-28T15:46:44.894Z","","",16,30,true
62,"z37mblmjudfboswwkj4h8p5r","вирус","Virus","2025-03-28T15:47:14.204Z","2025-03-28T15:47:49.703Z","","",16,30,true
65,"w4b9axm21u8dca75s0w94vna","аптека","Enfermedad","2025-03-28T15:49:18.870Z","2025-03-28T15:49:39.057Z","","",16,30,false
68,"y64hjiq4wwlejrwea0k3hfla","врачи","Síntomas","2025-03-28T15:50:17.302Z","2025-03-28T15:50:23.265Z","","",16,30,false
70,"rbg2t8hr1gdyiarh7dq6xnr6","холод","Fiebre","2025-03-28T15:51:01.478Z","2025-03-28T15:52:19.152Z","","",16,30,false
72,"in18oa6yeq85i5c9kzph83oe","усталость","Dolor","2025-03-28T15:52:44.653Z","2025-03-28T15:52:49.858Z","","",16,30,false
74,"isw5lx086nyo88ugpucwe0iq","жара","Resfriado","2025-03-28T15:53:24.830Z","2025-03-28T15:53:30.338Z","","",16,30,false
76,"h80honbzxrsbtst4gj3j7ysi","аллергия","Gripe","2025-03-28T15:54:58.675Z","2025-03-28T15:55:04.165Z","","",16,30,false
78,"j0ka8u4jke98taz0jj898oqk","слезы","Tos","2025-03-28T15:55:44.750Z","2025-03-28T15:55:51.467Z","","",16,30,false
80,"vky6v53wr51n2ap09wusbz56","дыхание","Estornudo","2025-03-28T15:56:26.977Z","2025-03-28T15:56:32.604Z","","",16,30,false
82,"ymceblnq0jsmexvx8yhfuhv4","болезнь","Infección","2025-03-28T15:57:03.885Z","2025-03-28T15:57:09.275Z","","",16,30,false
84,"mib10y3ooduo82ddts63ftsr","лекарство","Virus","2025-03-28T15:57:42.394Z","2025-03-28T15:57:47.953Z","","",16,30,false
86,"y0oif64gtx7ok0izu9fapbkb","жара","Resfraido","2025-03-28T15:59:12.391Z","2025-03-28T15:59:18.318Z","","",16,30,false
88,"gmr96ukcy0rwknwyf8zsy8vs","сумка"," El bolso","2025-04-20T17:18:21.309Z","2025-04-20T17:18:21.309Z","","",16,30,true
90,"qn7x2unhc98k6dwojiif4lhx","la camiseta","футболка","2025-04-20T17:30:50.509Z","2025-04-20T17:30:50.509Z","","",16,30,true
