id,documentId,en,ru,fontSize,correctAnswer,answerTime,createdAt,updatedAt,publishedAt,locale
1,"xonwy6sfr5i8whwzrpjcrf6p","지뢰","мина",16,true,30,"2025-03-22T08:12:30.945Z","2025-03-22T08:14:24.001Z","",""
3,"cgqgsnqgp80ij4dltbmmi1h9","조심하다","осторожно ",16,true,30,"2025-03-22T08:15:58.413Z","2025-03-22T08:16:03.633Z","",""
5,"sozqyvxkjnyrmqy4o49ibonj","겨울","зима ",16,true,30,"2025-03-22T08:21:12.979Z","2025-03-22T08:21:19.679Z","",""
7,"wkdh0uat4n801ue4wee4jmlm","많이 먹다.","Есть много",16,true,30,"2025-03-22T08:23:50.102Z","2025-03-22T08:32:16.039Z","",""
10,"jdxocaedixvx7ff1b7bboke1","맛있다.","Вкусно",16,true,30,"2025-03-22T08:41:32.454Z","2025-03-22T09:14:32.335Z","",""
12,"zgygdv2llvhyjp5tpygu6llq","차(자동차)","машина",16,true,30,"2025-03-22T09:15:51.952Z","2025-03-22T09:16:07.119Z","",""
14,"bgbi4ko52qegoxp25pirgqir","시간","время",16,true,30,"2025-03-22T09:21:59.123Z","2025-03-22T09:22:08.053Z","",""
16,"ceqd1gwjx7wr51ewvohl6nab","여행하다","путешествовать",16,true,30,"2025-03-22T09:22:51.967Z","2025-03-22T09:22:58.099Z","",""
18,"pjcwdq8eox87yei0xy5901h1","걷다(걸어요)","гулять",16,true,30,"2025-03-22T09:23:56.998Z","2025-03-22T09:25:09.470Z","",""
21,"khcdkaqzuq25tlcsn1xz4d1l","---(어/아)야 하다","надо ",16,true,30,"2025-03-22T09:25:39.486Z","2025-03-22T09:25:54.968Z","",""
23,"ikz1fd7jh4t6ja6cbpri26vo","----동안","в течение ",16,true,30,"2025-03-22T09:26:39.107Z","2025-03-22T09:26:45.023Z","",""
25,"ip5ktjuckp0kcawnuf9fhxmg","----(으)ㄹ 때","во время, когда",16,true,30,"2025-03-22T09:34:10.775Z","2025-03-22T09:34:18.160Z","",""
27,"ccq3u71izypyxns1tr7n49bw","항상","всегда",16,true,30,"2025-03-22T09:34:58.357Z","2025-03-22T09:35:08.168Z","",""
30,"ibp528kukt6wn4k4n91ox8el","공부하다","изучать",16,true,30,"2025-03-22T09:35:51.640Z","2025-03-22T09:35:57.451Z","",""
32,"q11k8oodxeiqhdcdxk0gvr1w","죽다","умирать",16,true,30,"2025-03-22T09:36:34.815Z","2025-03-22T09:36:40.290Z","",""
34,"isz4xpau2gzerwlc4dgczeqe","(으)ㄹ 수 있다.","Мочь",16,true,30,"2025-03-22T09:37:14.237Z","2025-03-22T09:55:20.452Z","",""
36,"dshsun0ugz6yvo8n953j977x","오랫동안","за долгое время",16,true,30,"2025-03-22T09:37:52.983Z","2025-03-22T09:37:58.776Z","",""
38,"qzo3p7rtp52sz26wdx8gi3ni","가다","идти, ехать",16,true,30,"2025-03-22T09:38:41.172Z","2025-03-22T09:38:46.962Z","",""
40,"hmt4096a8sfupyijkfbw22lw","한번","один раз",16,true,30,"2025-03-22T09:39:19.148Z","2025-03-22T09:39:24.825Z","",""
42,"prqcumjhpoz9u3if5w0dzkbh","운동선수","спортсмен",16,true,30,"2025-03-22T09:40:04.729Z","2025-03-22T09:40:10.169Z","",""
44,"gwt7t39sly2bmt8mogsx7kdg","꿈","сон/ мечта",16,true,30,"2025-03-22T09:40:47.878Z","2025-03-22T09:40:54.001Z","",""
46,"n3sqbn6e1186rbfttw2tj8di","몇 시간","сколько часов/ нескольких часов",16,true,30,"2025-03-22T09:41:31.059Z","2025-03-22T09:41:37.127Z","",""
48,"wmx1qby0m23w12s88g13858v","주말","выходные",16,true,30,"2025-03-22T09:42:05.788Z","2025-03-22T09:42:11.388Z","",""
50,"vuq7xyk8fgsfjv27eyd53lz9","매일","каждый день",16,true,30,"2025-03-22T09:42:46.887Z","2025-03-22T09:42:53.578Z","",""
52,"zhxd0qcizfnzotkux8wn31rj","바다","море",16,true,30,"2025-03-22T09:43:24.301Z","2025-03-22T09:43:59.263Z","",""
55,"mwhoer6j5ypy4naieydk2c6n","다양하다(다양한)","разный",16,true,30,"2025-03-22T09:44:33.821Z","2025-03-22T09:46:47.912Z","",""
57,"wbf8z25y1uornq2i7h0kq9a8","곳","место",16,true,30,"2025-03-22T09:47:53.109Z","2025-03-22T09:47:58.496Z","",""
59,"eaw6cc2srsgwibj0u6h4s36z","수업","занятие",16,true,30,"2025-03-22T09:48:45.132Z","2025-03-22T09:48:50.975Z","",""
61,"pd35pdh3zemyqldwqww70055","사람","человек",16,true,30,"2025-03-22T09:49:55.855Z","2025-03-22T09:50:01.262Z","",""
63,"a9kmxalgna7auqjz396azbl2","---고 싶다","хотеть",16,true,30,"2025-03-22T09:50:39.386Z","2025-03-22T09:50:45.228Z","",""
65,"yyhh7xzjznqvxres3ewit8ym","후에","после",16,true,30,"2025-03-22T09:52:30.981Z","2025-03-22T09:52:37.095Z","",""
70,"a8ben26rqxdef8x9gidhs05y","무엇","что",16,true,30,"2025-03-22T10:04:09.749Z","2025-03-22T10:04:15.983Z","",""
72,"bnwhi50dacnzr7zx107zwcma","-공포","страх",16,true,30,"2025-03-22T10:05:10.283Z","2025-03-22T10:05:16.233Z","",""
74,"b1kvz8g6jckb3pw4aavwp4lm","좋아하다","любить",16,true,30,"2025-03-22T10:16:59.461Z","2025-03-22T10:17:05.623Z","",""
76,"e6iydlzj5khf8sj0m0ko2e6w","자주","часто",16,true,30,"2025-03-22T10:17:37.959Z","2025-03-22T10:19:41.331Z","",""
78,"yn7a5t8nwg67d2g0zogapoo8","생각","идея, мысль",16,true,30,"2025-03-22T15:26:08.406Z","2025-03-22T15:26:11.654Z","",""
80,"aoj7t3yi64wickxbhdvmb46c","아무것도","ничего",16,true,30,"2025-03-22T15:27:03.849Z","2025-03-22T15:27:33.815Z","",""
82,"uk53cruluyhakci5vdwpbwb4","소리","звук, шум",16,true,30,"2025-03-22T15:28:44.869Z","2025-03-22T15:28:48.280Z","",""
85,"e78t8qskk8xe4jzsp5kglbmi","들리다(들려요)","слышаться",16,true,30,"2025-03-22T15:31:06.385Z","2025-03-22T15:31:10.168Z","",""
87,"y41jyfmziu6yqinfx38xfn4o","듣다(들어요)","слушать",16,true,30,"2025-03-22T15:33:12.510Z","2025-03-22T15:33:15.983Z","",""
89,"d7zkz5awlroa4cb9xv0i351g","경기장","стадион",16,true,30,"2025-03-22T15:40:47.814Z","2025-03-22T15:40:53.430Z","",""
91,"ep8b8tbzpre2lemhdwvsxhp5","근처","около возле",16,true,30,"2025-03-22T15:41:38.616Z","2025-03-22T15:41:41.428Z","",""
93,"f0ojkvzw8fjqy5ltnka59euj","땅","земля",16,true,30,"2025-03-22T15:42:30.101Z","2025-03-22T15:42:32.814Z","",""
95,"gfaknll9gfdav7efht3zij1j","밑","низ",16,true,30,"2025-03-22T15:43:36.903Z","2025-03-22T15:43:39.987Z","",""
97,"w13nanlj7fh4ei3vt7fd812c","아니면","или",16,true,30,"2025-03-22T15:44:16.348Z","2025-03-22T15:44:19.497Z","",""
99,"ejn091yuzdz3ni7yzfo8c21y","호수","озеро",16,true,30,"2025-03-22T15:45:32.579Z","2025-03-22T15:45:35.536Z","",""
101,"s89so9tbxvdtijt51rybptr6","방","комната",16,true,30,"2025-03-22T15:46:24.536Z","2025-03-22T15:46:27.496Z","",""
103,"anf5ffnokigvjp3cv94j2r87","안","внутрь",16,true,30,"2025-03-22T15:47:11.573Z","2025-03-22T15:47:14.490Z","",""
105,"sb2964tz0y1gio702n1vn4va","에 대한","о about",16,true,30,"2025-03-22T15:48:31.533Z","2025-03-22T15:48:34.499Z","",""
107,"f5cnyu997q0a8s6evk3l2j82","책","книга",16,true,30,"2025-03-22T15:49:11.205Z","2025-03-22T15:49:15.877Z","",""
109,"vgkeockmwrrmwy7vgzfed01u","어떤/무슨","какой",16,true,30,"2025-03-22T15:50:21.411Z","2025-03-22T15:50:24.570Z","",""
