id,documentId,en,ru,createdAt,updatedAt,publishedAt,locale,fontSize,answerTime,correctAnswer
1,"uspdtuazm4radrrf1zu4nn3p","apple","яблоко","2024-12-26T10:28:29.846Z","2025-05-25T21:30:34.363Z","","",16,30,true
25,"tkuhkuxdlsml0pe2jvytij27","book","книга","2025-01-04T19:20:36.703Z","2025-05-26T16:51:52.302Z","","",16,30,true
27,"hkva7m0heb0zq63n3bhcs1a9","house","дом","2025-01-04T19:20:49.746Z","2025-01-15T08:41:36.441Z","","",16,30,true
29,"gat130su1kl9pv9xxogtn2he","friend","друг","2025-01-04T19:21:17.704Z","2025-04-03T09:07:41.197Z","","",16,30,true
34,"q1ua2oyjwld18ci2mt4a40d1","water","вода","2025-01-04T19:38:32.376Z","2025-01-24T15:40:24.975Z","","",16,30,true
36,"ratyb13jnqtdxrnzwy6n7ftj","sun","солнце","2025-01-04T19:39:02.760Z","2025-03-25T19:39:51.721Z","","",16,30,true
63,"gezrj6x8j9p949uzp6pq4i42","apple","компьютер","2025-01-07T20:18:43.707Z","2025-04-03T09:05:30.129Z","","",16,30,false
79,"yn8jp3ysxwllr4iewqs9xojv","carry-on ","ручная кладь","2025-01-09T15:35:43.788Z","2025-05-31T16:12:44.008Z","","",16,30,true
106,"vgzpyucok5uuci3loozqetiu","destination","пункт назначения","2025-01-09T17:21:26.974Z","2025-04-03T09:07:24.966Z","","",16,30,true
110,"roza51sgn507919et6ym411a","itinerary","маршрут","2025-01-09T22:23:01.990Z","2025-01-13T15:01:14.719Z","","",16,30,true
113,"o84joyxaygf9hxqjsneuwzaz","departure","отправление","2025-01-09T22:24:17.247Z","2025-07-28T13:57:32.266Z","","",16,30,true
120,"cnvm1quini83300t94ohq088","departure","прибытие","2025-01-09T22:27:54.154Z","2025-07-28T13:57:51.360Z","","",16,30,false
123,"iv3qomgbyjjne9sjsixkx11t","arrival","прибытие","2025-01-09T22:28:34.608Z","2025-07-28T13:58:07.125Z","","",16,30,true
125,"tvdgo239xvirg1bm4ypoqw4o","customs","таможня","2025-01-09T22:29:09.288Z","2025-04-03T09:07:13.348Z","","",16,30,true
127,"fomrxs2ooe43m14cboetvsy2","gate","выход","2025-01-09T22:29:31.065Z","2025-04-03T09:07:42.608Z","","",16,30,true
129,"rpi7rn9nnqnwg916gmydcs2z","delay","задержка","2025-01-09T22:29:56.779Z","2025-04-03T09:07:16.364Z","","",16,30,true
131,"fqfrorwlroopjnhvlf7r6qod","delay","отмена","2025-01-09T22:30:10.855Z","2025-04-03T09:07:17.807Z","","",16,30,false
133,"ga7x6weih4zymztsppjatcya","map","карта","2025-01-09T22:30:34.579Z","2025-01-13T14:48:35.221Z","","",16,30,true
135,"pxcz4sz47ptnibeee3od5ly2","attraction","достопримечательность","2025-01-09T22:31:04.674Z","2025-06-11T13:32:22.651Z","","",16,30,true
137,"ha93a01j7fv0w8f08owx9c9y","attraction","действие","2025-01-09T22:31:23.230Z","2025-06-11T13:35:17.078Z","","",16,30,false
139,"xdfvn2ocuos9v0ragwj9rlru","iandmark","памятник","2025-01-09T22:31:53.378Z","2025-01-13T14:55:14.180Z","","",16,30,true
141,"htbqmj89webua9btr7q1ly6k","ticket","билет","2025-01-09T22:32:30.404Z","2025-01-13T14:53:36.419Z","","",16,30,true
153,"wnyfkzuu3fzs9epc5vo9nrd0","ATM","обмен валюты","2025-01-09T22:33:56.741Z","2025-06-11T13:24:26.909Z","","",16,30,false
156,"pq1vzalhjsrep6r4xrbe3ehf","ATM","банкомат","2025-01-09T22:34:40.221Z","2025-06-11T13:25:26.233Z","","",16,30,true
161,"ah9lgeuznlu0ccekuhp315im","wallet","кошелек","2025-01-09T22:36:15.476Z","2025-01-13T14:50:22.404Z","","",16,30,true
163,"w0x48dqgr7sa05h613mcvhb4","cash","наличка","2025-01-09T22:37:09.279Z","2025-05-31T16:13:32.655Z","","",16,30,true
165,"g8u08s7juhu7vox0bqlwk5gk","insurance","страховка","2025-01-09T22:37:31.350Z","2025-01-13T14:54:52.626Z","","",16,30,true
167,"ceq3ldlnlsnvsa1g1aoyruy9","insurance","бронирование","2025-01-09T22:37:57.802Z","2025-01-13T14:55:37.865Z","","",16,30,false
169,"t3d3bi8wuk1t7gfhkb1gs8e0","emergency","чрезвычайная ситуация","2025-01-09T22:38:48.447Z","2025-04-03T09:07:29.491Z","","",16,30,true
171,"jk1odv9ne64qq97tqxz1amar","emergency","крутая ситуация","2025-01-09T22:39:20.708Z","2025-04-03T09:07:30.919Z","","",16,30,false
173,"wea9txtveb0dptwn8am6bxv9","pharmacy ","аптека","2025-01-09T22:39:52.267Z","2025-01-13T15:08:25.684Z","","",16,30,true
175,"o6bphmtty8riajz7k653ow9y","Pharmacy ","информация","2025-01-09T22:40:22.037Z","2025-01-09T22:59:21.545Z","","",16,30,false
177,"sdee1t9nvlr33utsfo88573f","health","здоровье","2025-01-09T22:40:54.711Z","2025-01-13T14:45:06.094Z","","",16,30,true
